id,yield
15289,4280.738104499687
15290,6126.802138647688
15291,7210.507996506757
15292,4663.8977051532065
15293,3932.1842887442535
15294,5144.802632507693
15295,7241.9609821436
15296,6520.791446968073
15297,8111.329420260522
15298,4217.054316554644
15299,5817.741184326355
15300,5769.849809692265
15301,5530.05826863827
15302,5816.2035464887185
15303,5015.383589894406
15304,4709.927999285813
15305,4639.704214168643
15306,6534.159990569504
15307,4976.543700158883
15308,5936.065410187478
15309,6308.8466876412385
15310,7288.027006271497
15311,5154.0227056738095
15312,5331.916983494808
15313,6521.874456036709
15314,4968.567017596918
15315,4430.7810962936255
15316,7980.3918008221535
15317,5683.990380824873
15318,7673.921819647361
15319,8196.532671527206
15320,7045.164302090719
15321,6729.092572262795
15322,2747.9779198981023
15323,5898.849451212575
15324,2770.4802267728323
15325,6564.488262916211
15326,6413.262168258998
15327,4190.782031971982
15328,7681.965880462944
15329,7434.778406826341
15330,5259.354616315589
15331,5801.431133084496
15332,6899.243449562303
15333,6385.532529299436
15334,5539.456921629354
15335,8087.834695221139
15336,4292.388040707808
15337,7505.645775768511
15338,6625.870686378943
15339,5669.875349878834
15340,6817.806159604684
15341,5632.466897915931
15342,5151.282217723807
15343,6769.608164397769
15344,6286.481257476202
15345,4372.942530546626
15346,6289.4293398861555
15347,6326.935373351239
15348,5218.376980514253
15349,6538.692959871334
15350,4572.735571633691
15351,6208.242834526488
15352,5812.7163012054125
15353,6918.464000109263
15354,4411.351095931272
15355,4406.4623218098295
15356,6141.6107617266725
15357,6424.718780568475
15358,7047.1506918635005
15359,4895.47907663601
15360,4315.854048341468
15361,5624.116231637113
15362,6192.080278110277
15363,6709.790378083693
15364,4941.793369054625
15365,4391.590468536184
15366,4728.505054627472
15367,7528.9623210087675
15368,4916.008578683001
15369,5760.93412297774
15370,6490.557264215127
15371,3144.726719154233
15372,4718.7327173262
15373,6299.28220507673
15374,5655.06910725446
15375,5523.6003205854895
15376,5862.831248616804
15377,5640.647879575631
15378,4624.893571271738
15379,6179.203818189086
15380,7283.867080416866
15381,6259.458237136808
15382,5648.991017472959
15383,7368.5241740947
15384,5449.040909485383
15385,3761.2282646747994
15386,3803.8209478413314
15387,4025.8119414923667
15388,6796.108478853693
15389,6256.067889472127
15390,8141.029582773179
15391,6507.574399523225
15392,7265.144566509597
15393,5865.475458311679
15394,6074.6106331852625
15395,5636.308834086154
15396,6958.4589172405
15397,6739.95773779347
15398,5985.824110758853
15399,5712.790721380459
15400,4837.563937885653
15401,6258.193037570455
15402,6325.954773334983
15403,6288.712395174321
15404,7204.765018156314
15405,7311.235211322732
15406,8155.765710845783
15407,5849.728073305055
15408,7593.705579576529
15409,5756.80306192657
15410,5924.505104769089
15411,8251.581518996185
15412,6528.915298301002
15413,6818.071744091861
15414,5771.185551448463
15415,6040.289743041931
15416,6974.597980258177
15417,5815.84639591954
15418,7439.183780688286
15419,4399.874020821737
15420,3907.6804951795457
15421,6335.4948240252115
15422,3768.017606232993
15423,6457.463017711976
15424,6427.701139413425
15425,6998.602245248204
15426,3711.7169281378433
15427,7597.095016159301
15428,6416.400462227686
15429,7361.147653069886
15430,6941.75782827264
15431,5620.6242805272595
15432,5352.7747961337855
15433,4700.684794020939
15434,8252.512309649555
15435,4115.969510324667
15436,4754.924928747631
15437,4933.4533761335415
15438,5510.716593118466
15439,6681.186897910461
15440,5596.0011149130805
15441,6688.2786031439555
15442,5384.491635906023
15443,4638.218103222008
15444,5737.76289784475
15445,3536.256190876103
15446,6708.717904264263
15447,6528.432528820517
15448,7827.5669279156
15449,8184.478275625642
15450,7170.867019448866
15451,5382.580172171782
15452,4400.817695475546
15453,7370.145231906467
15454,6520.78460390933
15455,8276.806182736413
15456,6523.894115502773
15457,6467.857852299701
15458,5661.145606783601
15459,6338.071087576877
15460,5678.897587446284
15461,4936.708392569145
15462,5330.188781824358
15463,6658.910416757768
15464,6330.002965936238
15465,6799.005550581108
15466,7314.764233940208
15467,7307.414903675307
15468,3480.3690730827598
15469,2555.523927450833
15470,7364.223200205924
15471,7246.861705157192
15472,6934.799642713043
15473,5377.591206661565
15474,6721.875634005702
15475,5169.959786055566
15476,5284.634377510415
15477,5686.866631091725
15478,4690.674808390088
15479,7294.848440347289
15480,6862.827374780647
15481,6439.525635993174
15482,6113.125941490754
15483,6956.9449352990605
15484,6640.561930030588
15485,7339.180482181222
15486,6337.073339222737
15487,7737.348540057582
15488,6811.415086638686
15489,5553.384894158949
15490,6508.819348290011
15491,6743.109563010999
15492,5696.738799787314
15493,7327.729981115084
15494,6412.807544180273
15495,7037.361611402349
15496,6712.1862205305
15497,4666.69189370953
15498,6753.262190029672
15499,6888.529486529869
15500,7454.978488774669
15501,5515.136888130541
15502,7554.107325100415
15503,7360.759705956854
15504,6393.598003094157
15505,6348.897136068132
15506,4383.573438139036
15507,4539.415374565687
15508,6237.444632571162
15509,3941.3350583987813
15510,5105.4001640414035
15511,6389.592779451402
15512,5407.002441948527
15513,6762.873522612912
15514,7941.636826969126
15515,6437.816988867897
15516,5069.980626261505
15517,8049.897089456268
15518,7129.968608958993
15519,7049.5288695621675
15520,5644.761901318951
15521,6436.107057095029
15522,6435.90768945632
15523,6698.419241052157
15524,7132.944174507362
15525,5406.943910000626
15526,5642.071357181709
15527,4284.311699368056
15528,3812.750283097365
15529,7300.557037222735
15530,6651.639784002184
15531,6531.391000058866
15532,7142.857075193142
15533,4658.845480944177
15534,8052.6131245930255
15535,3742.0371723226785
15536,6785.438639086235
15537,5640.45506559212
15538,6479.262115063343
15539,7329.744873041934
15540,6342.210317696255
15541,6504.8464694892855
15542,7297.42505484854
15543,7103.394044459987
15544,4584.254817936112
15545,4909.433899000912
15546,7710.073756392438
15547,5497.639792750599
15548,6041.1896343485905
15549,7030.046000882288
15550,6622.8461115714745
15551,7182.244401106821
15552,6484.661571732463
15553,4351.126061132884
15554,5686.889435761993
15555,6037.837765423275
15556,6745.614620289453
15557,6970.042250790447
15558,3921.133543068442
15559,5533.541729490436
15560,7134.696915946692
15561,5567.445073649401
15562,7486.417555304094
15563,6770.665395538989
15564,4137.618262805622
15565,6514.131829520297
15566,7168.477523575658
15567,6449.140293376492
15568,3429.1189887545265
15569,4340.768675525396
15570,5150.640489739783
15571,5324.154927638063
15572,3933.5397952747107
15573,5822.8568182398985
15574,6276.933739002066
15575,6507.55782532245
15576,4044.348295243473
15577,5905.0048694740235
15578,6740.604103957567
15579,3214.77591854709
15580,7475.589640700076
15581,7239.162047669699
15582,6831.203743953874
15583,3229.2183748359475
15584,5492.090990494802
15585,4015.611927797756
15586,6380.735977581692
15587,7873.5524048854595
15588,6519.8227767386725
15589,5598.070768545327
15590,5136.632631055046
15591,6032.426635668312
15592,7969.280285258513
15593,7082.349623081382
15594,6738.556037269829
15595,4281.009378624939
15596,4488.857573912666
15597,5033.581128702579
15598,5327.561612926649
15599,5613.161175972883
15600,5446.41184449539
15601,5966.9685833957865
15602,7348.479828534964
15603,4786.6995724618455
15604,6596.247253861775
15605,7127.091882520964
15606,7149.574997546615
15607,5760.366576958198
15608,6783.799890235314
15609,7365.533621970413
15610,6583.401390970762
15611,4693.289011855836
15612,5067.578562684386
15613,6468.073710896091
15614,4447.447817173015
15615,6253.7372772916315
15616,6302.667308888328
15617,5294.178241640883
15618,6658.717923727047
15619,6798.671124378855
15620,4764.827936584542
15621,4112.301249028392
15622,4202.603407010896
15623,5361.091692153727
15624,5313.872364606206
15625,4182.218988134092
15626,7337.869797845619
15627,5445.353220845842
15628,6190.350395399605
15629,5723.48422182365
15630,5367.236399689903
15631,5831.123273998508
15632,5864.111443372391
15633,4767.641989775642
15634,7109.743308693847
15635,5103.498691826616
15636,7353.016672446407
15637,5912.742281909714
15638,5847.60630451178
15639,3542.804260033044
15640,5616.832151577989
15641,7002.584299391774
15642,6681.819789218357
15643,4367.669615518095
15644,6293.887376849901
15645,5503.815286118474
15646,5662.719595159108
15647,7858.867278354218
15648,5612.0540007374
15649,6847.82163010641
15650,8140.376086002455
15651,5542.813138957853
15652,8153.270744620526
15653,4985.284330548097
15654,6993.407657344764
15655,4621.859315439046
15656,7237.738290819364
15657,5439.049211735743
15658,6654.856939296057
15659,7197.2208475424
15660,7600.971290948849
15661,7325.863692968045
15662,6482.24405813227
15663,7314.062385014386
15664,4428.367843440985
15665,4177.005762880484
15666,4844.807047063198
15667,6899.511790235586
15668,7326.147959046883
15669,5421.693134300455
15670,6482.646829729202
15671,5731.955672243846
15672,5211.794480066013
15673,7108.0015919150055
15674,6372.969476354325
15675,4594.143827455611
15676,5444.32236212965
15677,5385.740933691576
15678,7424.074651411921
15679,6647.058191505037
15680,4644.801084535076
15681,7299.833220571702
15682,6373.62021575741
15683,5719.853394410027
15684,6552.559793331532
15685,6467.92972144945
15686,7710.515796227454
15687,5630.509354527004
15688,7311.699825573809
15689,7259.203037314828
15690,6730.432934957391
15691,6219.655823305247
15692,5289.588954878385
15693,6771.771229794495
15694,6504.591400183366
15695,6275.895986763477
15696,7184.198178873203
15697,5530.087198089676
15698,7283.160690193413
15699,5507.294016845336
15700,7171.794477735078
15701,4089.817926563913
15702,4558.99123047995
15703,3139.0692044588045
15704,4290.269352465675
15705,6161.714470220129
15706,6359.181392520638
15707,6141.180068549075
15708,6343.390692533425
15709,7065.9450071692145
15710,6964.621267432496
15711,6359.419012252652
15712,7223.083977412424
15713,5568.831991353655
15714,4338.395506238268
15715,5559.051181283096
15716,6425.386200836295
15717,5322.390483693737
15718,5408.991373727529
15719,6289.274325412505
15720,5191.881129268243
15721,5389.23517351924
15722,6821.4837366171705
15723,6462.7807880213695
15724,5164.590223573478
15725,5348.7823365674085
15726,6913.806326915584
15727,7186.119593302776
15728,4815.968534492303
15729,5462.346942921569
15730,4707.399623221986
15731,5030.637742435234
